sg_uf_not,mean_6m,var_6m,slope_6m,Cluster,PCA1,PCA2
AC,1.0,,0.0,0,-0.2710556534942462,-0.8871306854519615
AL,2.6291666666666664,1.4382341269841272,-0.46388888888888896,0,-0.6231461611409245,-0.47733643015307753
AM,18.4525,298.1474641812866,-1.9223433583959908,2,0.26219493682510914,1.7564653082947055
AP,1.0,,0.0,0,-0.2710556534942456,-0.8871306854519614
BA,5.704938271604939,2.905786641342197,0.07083842083842089,0,-0.16705491996555108,-0.6552732174031393
BR,1.0,0.0,-7.850462293418875e-17,0,-0.5171562414649138,-0.9275466595480509
CE,14.039166666666668,314.6029027777778,-2.451967418546367,2,-0.24898365035904998,1.8439731188090773
DF,5.622222222222223,6.337521367521367,-0.011619861619861555,0,-0.20504935523326298,-0.5999008837057029
ES,3.9069444444444446,2.2003766835016836,-0.2336247086247086,0,-0.42961472747559193,-0.5571294951192536
GO,10.309027777777779,41.04074828904992,-0.46365942028985535,0,-0.04481492876258703,0.061135158486982304
MA,7.329166666666666,14.997683080808082,-0.8042540792540788,0,-0.44674473905346673,0.09720316329553551
MG,7.71078431372549,30.325435729847495,-0.19758085052202687,0,-0.11157209492032276,-0.3141644396994438
MS,5.545238095238096,29.91070207570207,-1.0406593406593414,0,-0.649398331911594,0.1512013225290389
MT,9.159090909090908,42.345075757575756,-1.8136363636363633,0,-0.7489005818222464,0.9659958514621131
PA,7.43939393939394,17.44588744588745,-0.09015622059100305,0,-0.10186268183072505,-0.41474073043566795
PB,5.351851851851851,2.503086419753086,-0.2888888888888885,0,-0.359073209817687,-0.4175743112512569
PE,10.25448717948718,171.64563461538467,-1.3409629629629636,0,-0.23040333778215,0.7338600259739977
PI,4.556666666666667,1.3785555555555553,-0.7350000000000003,0,-0.6219836572909335,-0.14750731100045045
PR,12.517676767676768,222.50163089225592,-0.953514928698752,0,0.1890984618749523,0.6215507312616394
RJ,27.115104166666665,226.86787382392475,-0.518429252199414,2,1.3677096185579418,1.308122939419045
RN,7.696666666666667,18.120111111111115,-1.3634343434343434,0,-0.6779371300470167,0.530686276544032
RO,3.722222222222222,1.3981481481481484,-1.166666666666667,0,-0.8787622413196684,0.10966878586314857
RR,1.0,0.0,-7.850462293418875e-17,0,-0.5171562414649139,-0.9275466595480508
RS,8.456521739130435,89.31115502854634,-1.005928853754941,0,-0.336670730484783,0.3427863564992323
SC,10.412777777777775,140.05064527458492,-1.0340860215053773,0,-0.13170961758499589,0.5121332032881815
SE,5.483333333333333,10.339786324786324,-0.22967032967032983,0,-0.30906289258718445,-0.44944478109138336
SP,42.682291666666664,1987.333977374552,4.046401515151514,1,7.59732200351497,-0.44480929231927807
TO,1.0,0.0,-1.0507920739455759e-16,0,-0.5171562414649139,-0.9275466595480508
